Country,Capital,Continent Group
Philippines,Manila,Asia
Timor-Leste,Dili,Asia
Japan,Tokyo,Asia
Palau,Ngerulmud,Australia and Oceania
Federated States of Micronesia,Palikir,Australia and Oceania
Papua New Guinea,Port Moresby,Australia and Oceania
Australia,Canberra,Australia and Oceania
Marshall Islands,Majuro,Australia and Oceania
Nauru,Yaren,Australia and Oceania
Solomon Islands,Honiara,Australia and Oceania
Vanuatu,Port Vila,Australia and Oceania
Tuvalu,Funafuti,Australia and Oceania
Fiji,Suva,Australia and Oceania
New Zealand,Wellington,Australia and Oceania
Samoa,Apia,Australia and Oceania
Tonga,Nukuʻalofa,Australia and Oceania
Kiribati,Tarawa,Australia and Oceania
Iceland,Reykjavik,Europe
Ireland,Dublin,Europe
Portugal,Lisbon,Europe
Spain,Madrid,Europe
United Kingdom,London,Europe
France,Paris,Europe
Andorra,Andorra la Vella,Europe
The Netherlands,Amsterdam,Europe
Belgium,Brussels,Europe
Luxembourg,Luxembourg,Europe
Norway,Oslo,Europe
Sweden,Stockholm,Europe
Denmark,Copenhagen,Europe
Germany,Berlin,Europe
Liechtenstein,Vaduz,Europe
Switzerland,Bern,Europe
Italy,Rome,Europe
Monaco,Monaco,Europe
San Marino,San Marino,Europe
Vatican City,Vatican City,Europe
Malta,Valletta,Europe
Czech Republic,Prague,Europe
Austria,Vienna,Europe
Slovenia,Ljubljana,Europe
Poland,Warsaw,Europe
Slovakia,Bratislava,Europe
Hungary,Budapest,Europe
Croatia,Zagreb,Europe
Bosnia and Herzegovina,Sarajevo,Europe
Montenegro,Podgorica,Europe
Serbia,Belgrade,Europe
Kosovo,Pristina,Europe
Albania,Tirana,Europe
North Macedonia,Skopje,Europe
Greece,Athens,Europe
Finland,Helsinki,Europe
Estonia,Tallinn,Europe
Latvia,Riga,Europe
Lithuania,Vilnius,Europe
Belarus,Minsk,Europe
Ukraine,Kyiv,Europe
Moldova,Chisinau,Europe
Romania,Bucharest,Europe
Bulgaria,Sofia,Europe
Russia,Moscow,Europe
Canada,Ottawa,North America
United States of America,Washington, D.C.,North America
Mexico,Mexico City,North America
The Bahamas,Nassau,North America
Cuba,Havana,North America
Jamaica,Kingston,North America
Haiti,Port-au-Prince,North America
Dominican Republic,Santo Domingo,North America
Saint Kitts and Nevis,Basseterre,North America
Antigua and Barbuda,Saint John's,North America
Dominica,Roseau,North America
Saint Lucia,Castries,North America
Saint Vincent and the Grenadines,Kingstown,North America
Barbados,Bridgetown,North America
Grenada,Saint George's,North America
Trinidad and Tobago,Port of Spain,North America
Belize,Belmopan,North America
Guatemala,Guatemala City,North America
Honduras,Tegucigalpa,North America
El Salvador,San Salvador,North America
Nicaragua,Managua,North America
Costa Rica,San Jose,North America
Panama,Panama City,North America
Colombia,Bogota,South America
Venezuela,Caracas,South America
Guyana,Georgetown,South America
Suriname,Paramaribo,South America
Ecuador,Quito,South America
Peru,Lima,South America
Brazil,Brasilia,South America
Bolivia,La Paz,South America
Chile,Santiago,South America
Paraguay,Asuncion,South America
Uruguay,Montevideo,South America
Argentina,Buenos Aires,South America
